"adm_ph_activitiy_no_accounts_selected_accounts","Ausgewählte Konten","Selected accounts","Vybraná konta",,"Wybrane konta","Conturi selectate",
"adm_ph_activitiy_no_accounts_yet","Es existieren noch keine Konten.","No existing accounts ","Nejsou ještě vytvořeny žádná konta.",,"Nie utworzono jeszcze żadnego konta.","Incă nu există conturi.",
"adm_ph_activitiy_no_accounts_yet_Create_here","Bitte legen Sie diese hier an.","Here you will be able to create your accounts","Zde můžete vytvořit nové konto.",,"Tutaj możesz założyć konto.","Vă rugăm creaţi aici un cont.",
"adm_ph_add_products_shop","Neue Produkte hinzufügen (Shop) ...","Add new products to the shop","Přidat nové produkty (Shop) ...",,"Dodaj nowe produkty (sklep)…","Adăugaţi noi produse (Shop) ...",
"adm_ph_add_user_now","Jetzt Benutzer erstellen ...","Add user now","Vytvořit uživatele ...",,"Utwórz teraz użytkownika…","Crează un utilizator ...",
"adm_ph_alias_addresses","Alias-Adressen","Alias adresses","Alias - adresy",,"Aliasy","Alias - Adrese",
"adm_ph_alias_address_explanation","E-Mails an diese Adressen werden automatisch an die Hauptadresse weitergeleitet.","Emails will be automatically forwarded to the main address","E-maily na tyto adresy budou automaticky přesměrovány na hlavní adresu. ",,"Wiadomości e-mail, wysyłane pod tym adresem, zostaną automatycznie przekazane na adres podstawowy.","E-Mail-urile de la această adresă vor fi redirecţionate automat către adresa principală.",
"adm_ph_already_customer","Bereits Kunde?","Already a customer?","Již stávajícím zákazníkem?",,"Jesteś już klientem?","Deja client?",
"adm_ph_assigned_partners","Ihre untergeordneten Partner","Your subordinate","Vaši přiřazení partneři",,"Twoi przyporządkowani partnerzy","Partenerului subordonat",
"adm_ph_assigned_partners_showall","Alle anzeigen","Show all","Všechny zobrazit",,"Pokaż wszystkich","Indică totul",
"adm_ph_assign_to_other_partner","Anderem Partner zuweisen","Assign to other partner","Přidělit jinému partnerovi",,"Przypisz innemu partnerowi","Alocarea unui alt partener",
"adm_ph_automail_trialend_subject","Ihre %PRODUCTNAME% Testphase naehert sich dem Ende",,,,,"Faza dvs. %PRODUCTNAME% de testare se apropie de sfârşit.",
"adm_ph_back_to_user_properties","zurück zu den Benutzereigenschaften ...","Back to properties...","zpět k vlastnostem uživatele",,"powrót do właściwości użytkownika…","Înapoi la caracterele utilizatorului.",
"adm_ph_billing_amount","Menge","Amount","Množství",,"Ilość","Cantitate",
"adm_ph_billing_comments","Anmerkung","Comment","Připomínka",,"Uwagi","Observaţie",
"adm_ph_billing_connect_to_payment_server","zum Zahlungsserver verbinden ...","Connect to payment server","Připojit k platebnímu serveru ...",,"połącz z serwerem płatności…","Conectare la serverul de plată ...",
"adm_ph_billing_contract_end","Laufzeit aller Produkte bis zum %DATE%","End of product services on %date%","Doba platnosti všech produktů do %DATE%",,"Okres ważności wszystkich produktów do %DATE%","Expirarea tuturor produselor până la %DATE%",
"adm_ph_billing_customer_number","Kundenummer","Customer number","Číslo zákazníka",,"Nr klienta","Număr client",
"adm_ph_billing_invoice_no","Rechnung Nummer","Invoice no.","Faktura číslo",,"Rachunek nr","Factură nr.",
"adm_ph_billing_invoice_number","Rechnungsnummer","Invoice number","Číslo faktury",,"Nr rachunku","Factură număr",
"adm_ph_billing_loc_date","Graz, am %DATE%","Graz, the dd/mm/yy","Graz, dne %DATE%",,"Graz, dnia %DATE%","Graz, la %DATE%",
"adm_ph_billing_payment_conditions","Zahlungskonditionen","Payment conditions","Platební podmínky",,"Warunki płatności","Condiţii de plată",
"adm_ph_billing_payment_conditions_10_days","10 Tage ohne Abzug","10 days strictly net","10 dnů bez srážky",,"10 dni bez potrącenia","10 zile fără reducere",
"adm_ph_billing_pay_per_cc","Bezahlen via Kreditkarte/Lastschrift","Pay via credit card/debit entry","Platba kreditní kartou/vrubopisem",,"Zapłać kartą kredytową/obciąż rachunek","Plata per carte de credit/debit",
"adm_ph_billing_pay_per_transfer","Rechnung per Überweisung bezahlen","Pay invoice per bank transfer","Úhrada faktury bankovním převodem",,"Zapłać rachunek przelewem","Plata facturi prin transfer bancar",
"adm_ph_billing_pay_per_transfer_description","Bitte geben Sie als Verwendungszweck folgende Daten an:","Please enter the following reason for transfer: ","Jako účel platby uveďte prosím tyto údaje:",,"Jako tytuł przekazu należy wpisać następujące dane:","Vă rugăm să indicaţi urmatoarele date care intenţionaţi să le introduceţi:",
"adm_ph_billing_plus_vat","zuzügl. %VATRATE%% MwSt","Plus ","s přičtením %VATRATE%% DPH",,"z doliczeniem %VATRATE%% VAT","Adiţional %VATRARE%% TVA",
"adm_ph_billing_price","Einzelpreis","Single price","Jednotková cena",,"Cena jednostkowa","Preţ per unitate",
"adm_ph_billing_productname","Produktbezeichnung","Product name","Označení produktu",,"Nazwa produktu","Denumire produs",
"adm_ph_billing_share_next_periods","Anteil Folgeperiode(n)","Share subsequent period(s)","Podíl následných period",,"Udział w kolejnym okresie/okresach","Partea/Părţile ulterioară/e a/ale perioadei/elor ",
"adm_ph_billing_share_this_year","Anteil laufendes Jahr","Share this year","Podíl v tomto roce",,"Udział w roku bieżącym","Partea anului în curs",
"adm_ph_billing_sum","Summe","Sum","Suma",,"Suma","Sumă",
"adm_ph_billing_sum_netto","Gesamtsumme netto","Sum before VAT","Celková suma, netto",,"Łączna suma, netto","Suma totală net",
"adm_ph_billing_thank_you_positions","Wir danken für Ihre Bestellung und stellen Ihnen folgende Dienstleistungen in Rechnung","We thank you for your order and charge  you the following services:","Děkujeme Vám za Vaši objednávku. Následující produkty/služby Vám budou vyfakturovány.",,"Dziękujemy za złożone zamówienie, rachunek zostanie wystawiony za następujące usługi","Vă mulţumim pentru comanda efectuată şi vă facturăm următoarele servici",
"adm_ph_billing_total_amount","Gesamtsumme","Total amount","Celková suma",,"Łączna suma","Suma totală",
"adm_ph_billing_your_rep","Ihr Ansprechpartner","Your contact person","Vaše kontaktní osoba",,"Osoba kontaktowa","Persoana dvs. de contact",
"adm_ph_btn_save_edit","Speichern/Editieren","save/edit","Uložit/Editovat",,"Zapisz/Edytuj","Memorare/Editare",
"adm_ph_btn_search_filter","Suchen/Filtern ...","search/filter","Hledat/Filtrovat",,"Znajdź/Filtruj…","Căutare/Filtrare ...",
"adm_ph_btn_submit_close_order","Bestellung abschliessen","Close order","Ukončit objednávku",,"Zakończ zamównienie","Încheiere comandă",
"adm_ph_btn_submit_close_order_hint","Die ausgewählten Produkte bestellen und (je nach Typ) sofort nutzen koennen","Order of the selected products and immediate use (depending on product type","Objednat vybrané produkty a (podle typu) je moci okamžitě využívat",,"Zamów wybrane produkty (zeleży od typu) i natychmiast używaj ","Comandţi produsele selectate şi le puţi folosi imediat (depinde de tipul produsului).",
"adm_ph_change_account_type","Konto-Typ aendern","Change type of account ","Změna typu účtu",,"Zmień typ konta","Modificarea tipului de cont",
"adm_ph_change_account_type_licences_needed","Es stehen keine Lizenzen mehr zur Verfuegung um den Kontotyp zu aendern.","There are no more licences available to modify the account type","Nejsou k dispozici žádné licence ke změně konta.",,"Brak dostępnych licencji w celu zmiany typu konta.","Nu mai sunt licenţe disponibile pentru a efectua modificarea tipului de cont.",
"adm_ph_change_account_type_new_type","Neuer Konto-Typ","New type of account","Nový typ účtu",,"Nowy typ konta","Tip nou de cont",
"adm_ph_change_account_type_type_now","bisheriger Konto-Typ","Recent account type","Dosavadní typ účtu",,"dotychczasowy typ konta","Tipul de cont anterior",
"adm_ph_change_password_empty","Passwort ist leer - nicht erlaubt.","Password empty- not permitted","Heslo je prázdné - není povoleno",,"Hasło jest puste – procedura niedozwolona.","Căsuţa parolei este golă -  procedura nu este permisă.",
"adm_ph_change_password_invalid","Passwörter stimmen nicht ueberein.","Invalid Passwords ","Hesla nejsou shodná, nesouhlasí",,"Hasła nie są zgodne.","Parolele de autentificare nu se potrivesc.",
"adm_ph_close_order","Bestellung abschliessen ...","Close order","Ukončit objednávku...",,"Zakończ zamównienie... ","Încheiere comandă ....",
"adm_ph_company_default_categories_description","Die hier definierten Kategorien stehen neben den Standard-Kategorien automatisch allen Benutzern zur Verfügung, indem sie in die persönlichen Kategorien der Benutzer kopiert werden.","The herein defined categories are automatically available  besides the  standard categories. ",,,,"Categoriile aici definite se găsesc lângă categoriile standard, şi pot fi accesate de toţi utilizatori.",
"adm_ph_company_news","Unternehmens-Nachrichten","Company news","Firemní zprávy",,"Wiadomości firmowe","Mesajele firmei",
"adm_ph_company_news_display_customers_too","Nachricht auch bei den untergeordneten Kunden einblenden","Also display news for subordinate customers.",,,,"Arată mesajele şi clienţilor subordonaţi",
"adm_ph_company_news_new_item","Neuen Eintrag erstellen ...","Create new entry","Vytvořit nový záznam ...",,"Utwórz nowy wpis…","Înregistrarea unui nou contact ",
"adm_ph_company_news_top_news","Top-Nachricht (wichtig; erscheint 1x auch als Popup)","Top news (important, displayed once as popup)","Top-zpráva (důležité, zobrazí se 1x jako Popup)",,"Wiadomość priorytetowa (ważna; wyświetlana 1x także w oknie rozwijanym)","Top-mesaje (important;apar 1x şi ca Popup)",
"adm_ph_company_news_valid_until","gültig bis","Valid until","platnost do",,"ważna do","valabil până la",
"adm_ph_confirmation_mail_body","Guten Tag %NAME%!

Wir danken für Ihr Interesse an InBox.cc und haben Ihnen soeben ein
kostenloses Testkonto eingerichtet, damit Sie sich nun unmittelbar
von den vielen Vorteilen überzeugen können.

Aktivierung des Kontos

Um Ihr Firmenkonto nun zu aktivieren klicken Sie bitte hier:
%HREF%

Haben Sie weitere Fragen?

Kontaktieren Sie uns bitte unter mailto:Info@InBox.cc!

Einen schoenen Tag wuenscht

das InBox.cc Team","Hello (name).We thank you for your interest in InBox.cc .Your free test account has just been created so you will be able to discover the many advantages. ","Dobrý den %NAME%! Děkujeme za Váš zájem o produkt InBox.cc. Vytvořili jsme Vám bezplatný testovací účet, kterým se můžete přesvědčit o výhodách tohoto produktu. Aktivace účtu - pro aktivaci Vašeho účtu klikněte prosím zde: %HREF% V případě Vašich dalších dotazů nás prosím kontaktujte na e-mailu: Info@InBox.cc! Příjemný den Vám přeje tým InBox.cc.",,"Dzień dobry %NAME%! Dziękujemy za zainteresowanie usługą InBox.cc i informujemy jednocześnie, że zostało skonfigurowane bezpłatne konto testowe, dzięki któremu można się samodzielnie przekonać o wielu oferowanych zaletach. Aktywacja konta- w celu aktywowania konta firmowego kliknij tutaj: %HREF% Jeśli masz jakieś pytania, możesz skontaktować się z nami pod adresem mailto:Info@InBox.cc! Miłego dnia życzy Zespół InBox.cc","Bună ziua %NAME%! Vă mulţumim pentru interesul dvs. la InBox.cc şi v-am creat un cont gratuit de testare, pentru a putea testa facilităţile chiar acum. Activarea contului - Pentru a activa contul de firmă , vă rugăm sa apăsaţi aici: %HREF% 

Aveţi întrebări? 

Contactaţine la mailto:Info@InBox.cc! Echipa InBox.cc vă doreşte o zi frumoasă!",
"adm_ph_confirmation_mail_subject","InBox.cc Bestaetigungslink","InBoc.cc confirmation link","Link pro potvrzení InBox.cc",,"Link potwierdzenia InBox.cc","Link de confirmare InBox.cc",
"adm_ph_contract_duration","Vertragsablauf","End of contract","vypršení smlouvy",,"Koniec umowy","Expirare contract",
"adm_ph_contract_duration_one_year_after_sale","1 Jahr ab Abschluss","1 year after conclusion ","1 rok od ukončení",,"1 rok od zawarcia ","1 an de la încheiere",
"adm_ph_contract_until","Laufzeit: Bis zum","Term: until the ","Doba: do",,"Czas: do ","Durata: până la",
"adm_ph_created_by","Angelegt von","Created by","Vytvořeno (kým)",,"Utworzony przez","Creat de",
"adm_ph_create_and_send_activation_code","Aktivierungscode erstellen & versenden ...","Create & send activation code ","Vytvořit a odeslat aktivační kód ...",,"Utwórz i prześlij kod aktywacyjny…","Creerea codului de activare şi trimitere ...",
"adm_ph_create_and_send_activation_code_alternative","Sie können alternativ für den Kunden auch ein Konto anlegen.","Alternatively, you are able to set up an account for the customer.","Alternativně můžete založit účet také pro Vašeho klienta.",,"Alternatywnie można również założyć konto dla klienta.","Alternativ puteţi crea un cont pentru client.",
"adm_ph_create_datasheet","Datenblatt erstellen","Create data sheet","Vytvořit formulář",,"Utwórz arkusz danych","Crează foaia de date",
"adm_ph_create_new_customer","Neuen Kunden anlegen ...","Create new customer","Vytvořit nového klienta ...",,"Utwórz nowego klienta…","Introducerea unui nou client ...",
"adm_ph_create_new_group","Neue Arbeitsgruppe anlegen","Create new workgroup",,,"Założyć nową grupę roboczą","Crearea unei noi grupe de lucru",
"adm_ph_create_new_role","Neue Rolle erstellen ...","Create new role","vytvořit novou roli","vytvorit novou roli","...stworzenie nowej roli","Crează un nou rol ...",
"adm_ph_criteria_delete_failed_sub_elements","Element konnte nicht entfernt werden - möglicherweise existieren noch Unter-Elemente.",,,,,"Elemntul nu a putut fi şters -posibil să mai existe subelemente.",
"adm_ph_current_address","Aktuelle Adresse","Current address","Aktuální adresa",,"Aktualny adres","Adresa actuală",
"adm_ph_customerid","Kundennummer","Customer id","Zákaznické číslo",,"Numer klienta","Număr client",
"adm_ph_customers_found","Kunden gefunden","Customer found",,,"Znalezieni klienci","Client găsit",
"adm_ph_customer_already_activated","Kunde ist bereits aktiviert.","Customer already activated",,,"Klient został już aktywowany.","Clientul este deja activat",
"adm_ph_customer_data","Kundendaten","Customer details","Data klienta",,"Dane klienta","Datele clientului",
"adm_ph_customer_id","Kunden-Nr","Customer id","Číslo zákazníka",,"Nr klienta","Nr. client",
"adm_ph_customer_is_in_trial","Dieser Kunde befindet sich in der Testphase.","Customer is in free trial period.",,,"Ten klient znajduje się w okresie testowym.","Acest client se află în faza de testare.",
"adm_ph_datasheet","Datenblatt","Data sheet","Formulář",,"Arkusz danych","Formular",
"adm_ph_datasheet_for","Datenblatt für","Data sheet for","Formulář pro",,"Arkusz danych dla","Formular pentru",
"adm_ph_definied_roles","Definierte Rollen","Defined roles",,,"Zdefiniowane role","Roluri definite",
"adm_ph_disable_user_sure","Sind Sie sicher, dass Sie den Benutzer <b>%USER%</b> deaktivieren wollen?","Are you sure you want to deactivate the user %USER%","Jste si jisti, že chcete deaktivovat uživatele <b>%USER%</b>?",,"Czy na pewno chcesz dezaktywować użytkownika <b>%USER%</b>?","Sunteţi sigur că doriţi dezactivarea utilizatorului <b>%USER%<b>?",
"adm_ph_disable_user_sure_no","Nein, nicht deaktivieren","No, don´t deactivate","Ne, nedeaktivovat",,"Nie, nie dezaktywuj","Nu, dezactiva",
"adm_ph_disable_user_sure_yes","Ja, jetzt deaktivieren (kein Login mehr moeglich)","Yes, deactivate now (no more login possible)","Ano, deaktivovat (není možné přihlášení)",,"Tak, dezaktywuj teraz (nie będzie możliwe zalogowanie)","Da, dezactivează (Efectuarea unui LOGIN nu mai este posibilă!)",
"adm_ph_domains_sep_by_comma","(Domains getrennt durch Comma)","(Domains seperated by comma)","(Doména oddělena pomocí čárky)",,"(domeny oddzielone przecinkiem)","(Domen separat prin virgulă)",
"adm_ph_duration_one_year","(1 Jahr ab Abschluss)","(1 year after conclusion)","(1 rok od uzavření)",,"(1 rok od dnia zawarcia umowy)","(1 an de la încheiere)",
"adm_ph_edit_administrator","Administrator editieren","Edit administrator","Editovat konto administrátora",,"Edytuj konto administratora","Editarea administratorului",
"adm_ph_edit_administrator_group_admin","Gruppenverwaltung","Group administration","Správa skupin",,"Administracja grup","Administrarea grupei",
"adm_ph_edit_administrator_level","Level","Level","Úroveň",,"Poziom","Nivel",
"adm_ph_edit_administrator_level_description","(100 = alle Rechte; 0 = Standard)","(100=all rigths; 0=standard)","(100 = všechna oprávnění; 0 = standardní)",,"(100 = wszystkie uprawnienia; 0 = standard)","(100 = toate drepturile; 0 = standard)",
"adm_ph_edit_administrator_logbook","Logbuch einsehen","Read logbook","Zobrazit seznam přihlášení",,"Wyświetl dziennik logów","Vizualizare carte log-uri",
"adm_ph_edit_administrator_news","Newsverwaltung","News administration","Správa novinek",,"Administracja wiadomości grup dyskusyjnych","Administrarea ştirilor",
"adm_ph_edit_administrator_read_user_data","Benutzerdaten einsehen (nicht private)","read user data (not private)","Zobrazit uživatelská data (vyjma privátních)",,"Wyświetl dane użytkownika (oprócz prywatnych)","Vizionare date utilizator (nu şi cele personale)",
"adm_ph_edit_administrator_reset_password","Passwort zurücksetzen","Reset password","Vynulovat/resetovat heslo",,"Resetuj hasło","Resetare parolă ",
"adm_ph_edit_administrator_rights","Berechtigungen","Rights","Oprávnění",,"Prawa dostępu","Autorizaţie",
"adm_ph_edit_administrator_rights_edit_masterdata","Stammdaten editieren","Edit master data","Editovat základní údaje",,"Edytuj dane podstawowe","Editarea datelor de bază",
"adm_ph_edit_administrator_rights_shop","Erweiterungen/Produkte bestellen","upgradings/order products","Objednat rozšíření/produkty",,"Rozszerzenia/zamawianie produktów","Extensii/Comandă produse",
"adm_ph_edit_administrator_security","Sicherheitsverwaltung","Security administration","Správa zabezpečení",,"Administracja statusu bezpieczeństwa","Administrarea de securitate",
"adm_ph_edit_administrator_user_admin","Benutzerverwaltung","User administration","Správa uživatelů",,"Administracja danych użytkowników","Administrarea utilizatorilor",
"adm_ph_edit_customer","Kunden editieren","Edit customer","Editovat klienta",,"Edytuj dane klienta","Editarea clientului",
"adm_ph_edit_quota","Speicherplatz - Quota editieren","Storage- edit quota","Paměť - editovat velikost",,"Zasoby pamięci - edytuj przydział","Memorie - editare cotă",
"adm_ph_edit_quota_add","Hinzufuegen","Add new products to the shop","Přidat",,"Dodaj","Inserare",
"adm_ph_edit_quota_buy","Sie müssen zuerst im Shop Speicherplatz bestellen.","You have to order storage in the shop first of all. ","Nejdříve si musíte objednat volnou kapacitu/paměť v odd. Shop.",,"Najpierw musisz zamówić zasoby pamięci w Sklepie.","Prima oară trebuie comandată memoria la Shop.",
"adm_ph_edit_quota_current_data","Aktuelle Daten","Current data","Aktuální údaje",,"Aktualne dane","Date actuale",
"adm_ph_edit_quota_current_size","Aktuelle Groesse","Current size","Aktuální velikost",,"Aktualna wielkość","Mărimea actuală",
"adm_ph_edit_quota_maximal","Maximal","Maximum","Maximálně",,"Maksymalnie","Maxim",
"adm_ph_edit_quota_type","Typ","Type","Typ",,"Typ","Tip",
"adm_ph_edit_roles","Rollen editieren","Edit roles",,,"Edytuj role.","Editare roluri",
"adm_ph_edit_userdata","Benutzerdaten editieren","Edit user data","Editovat data uživatele",,"Edytuj dane użytkownika","Editează datele utilizatorului",
"adm_ph_edit_workgroup","Arbeitsgruppen editieren","Edit work group","Editovat pracovní skupiny",,"Edytuj grupy robocze","Editează grupele lucrătoare",
"adm_ph_edit_workgroup_membership","Gruppenmitgliedschaft editieren","Edit group membership","Editovat členství ve skupině",,"Edytuj członkostwo grup","Editează grupul membrilor",
"adm_ph_edit_workgroup_memberships","Arbeitsgruppenmitgliedschaften bearbeiten","Edit workgroup membership","Editovat členství v pracovní skupině",,"Edytuj członkostwo grup roboczych","Prelucrează membri grupei de lucrători",
"adm_ph_email_address_default","Stammadresse","Default address","Základní adresa",,"Adres podstawowy","Adresa principală",
"adm_ph_email_address_delete_on_server","am Server löschen","Delete on server","Smazat na serveru",,"Usuń na serwerze","Ştergere de pe server",
"adm_ph_ending_trials","Auslaufende Testphasen","Ending trial periods","Končící zkušební lhůty",,"Kończące się okresy testowe","Sfârşitul fazei de testare",
"adm_ph_end_of_contract","Vertragsende","End of contract","Ukončení smlouvy",,"Koniec umowy","Sfârşit de contract",
"adm_ph_end_of_trial_phase","Ende der Testphase","End of trial period","Ukončení zkušební fáze",,"Koniec okresu próbnego","Sfârşitul perioadei de testare",
"adm_ph_end_trialphase","Ende Trialphase","End trial period","Ukončení zkušební lhůty",,"Koniec okresu próbnego","Sfârşitul perioadei de testare",
"adm_ph_error_empty_password","Kein Passwort angegeben","No password entered","Nebylo zadáno žádné heslo",,"Nie podawać hasła","Nu introduceţi parola",
"adm_ph_error_enter_companyname","Sie müssen einen Organisations-Namen vergeben","You need to enter a company name","Zadejte název firmy",,"Podaj nazwę firmy","Introduceţi numele firmei",
"adm_ph_error_enter_valid_email","Bitte geben Sie eine gültige E-Mail Adresse an","Please enter a valid email address","Zadejte aktuální platnou e-mailovou adresu",,"Wpisz aktualny adres e-mail","Completaţi cu o adresă de e-mail valabilă",
"adm_ph_error_external_adr_needed","Bei Interessenten müssen Sie eine externe E-Mail Adresse eingeben","You need to enter an external address for prospects.","V případě zájemců musí být zadána externí e-mailová adresa",,"Jesteś zaniteresowany, podaj externy adres e-mail","La interes introduceţi o adresă externă de e-mail",
"adm_ph_error_invalid_username","Keinen gueltigen Benutzernamen eingegeben!","You entered an invalid user name","Zadáno neplatné uživatelské jméno!",,"Nie podałeś prawidłowej nazwy użytkownika !","Datele utilizatorului nu au fost introduse corect!",
"adm_ph_error_login1","Ein Fehler ist beim Login aufgetreten!","Error occured during login","Při přihlášení vznikla chyba!",,"Wystąpił bląd podczas logowania!","A apărut o eroare la Login!",
"adm_ph_error_login2","Sind die Zugangsdaten korrekt?","Access data correct?","Jsou přístupová data správná?",,"Czy dane dostępu są prawidłowe?","Sunt datele de conectare corecte?",
"adm_ph_error_login3","Wenden Sie sich bitte an Feedback@InBox.cc oder Ihren Betreuer.","Please contact Feedback@InBox.cc or your contact person.","Obraťte se prosím na Feedback@InBox.cc nebo na Vašeho poradce.",,"Prosze się skontaktować z Feedback@InBox.cc lub Twoim opiekunem.","Vă rugăm să ne contactaţi la Feedback@InBox.cc sau contactaţi persoana responsabilă.",
"adm_ph_error_no_more_licences_1","für dieses Produkt stehen leider keine Lizenzen mehr zur Verfuegung.","There are no more licences available for this product.","Pro tento produkt nejsou bohužel k dispozici žádné licence.",,"Do tego produktu brak licencji do dyspozycji.","Pentru acest produs numai sunt licenţe disponibile.",
"adm_ph_error_no_more_licences_2","Bestellen Sie diese bitte hier nach:","Please re-order them here:","Objednejte si zde:",,"Tutaj zamów:","Vă rugăm să nu comandaţi aici această/e:",
"adm_ph_error_no_more_licences_3","Alternativ koennen Sie auch gerne Ihren Betreuer kontaktieren. Sie finden die Kontaktdaten am Ende der Seite.","Alternatively you are welcome to get in touch with your contact person. You will find the contact details at the end of the page.","Eventuelně můžete také kontaktovat Vašeho poradce. Kontakt najdete na konci stránky.",,"Ewentualnie możesz się skontaktować z Twoim opiekunem. Dane kontaktowe znajdziesz na końcu tej strony.","Alternativ puteţi contacta persoanele responsabile. Găsiţi datele de contact la sfârşitul acestei pagini.",
"adm_ph_error_no_more_licences_goto_shop","zum Shop ...","Go to shop","k obchodu (Shop)...",,"do sklepu...","salt la Shop ...",
"adm_ph_error_no_rights_selected","Keine Rechte ausgewählt","No rights selected","Nevybrána žádná práva",,"Nie wybrano żadnych praw","Nu aţi selectat drepturile",
"adm_ph_error_no_role_selected","Sie haben keine Rolle (Berechtigungsstufe ausgewählt)","No role selected (","Nebyla vybrána žádná role (úroveň oprávnění)",,"Nie wybrano żadnej roli (wybrano stopień uprawnień)","Dvs. nu aveţi un rol (dreaptă de autorizare selectată)",
